id,src_lang,tgt_lang,source_text,target_text,domain
kentrans_1616,eng_Latn,rag_Latn,ANAKAMUNA NA ANAKANANI (II),ANAKAMUNA NA ANAKANANI (II),general_prose
kentrans_1060,eng_Latn,rag_Latn,Musalaba ni i njira yokhutsia mwigulu.,Musalaba ni njia ya kuelekea mbinguni.,general_prose
kentrans_926,eng_Latn,rag_Latn,"Y li inyumba yanje,","Ndiyo nyumba yangu,",general_prose
kentrans_49,eng_Latn,rag_Latn,Mwisukulu wovo Yivula Kisukulu.,Mjukuu wako akazaa kitukuu,general_prose
kentrans_2521,eng_Latn,rag_Latn,Edenesi mwirova -Libwoni,Mpira mchangana -Kiazi,general_prose
kentrans_667,eng_Latn,rag_Latn,Ya kudzera lve.,Alikufa kwa ajili yako,general_prose
kentrans_1714,eng_Latn,rag_Latn,"Avamwavo veeve vanene avaali muliihe vaasinyika ing'inga vaahulira naavoolanga ndio, navanuleemba.","Ndugu zake wakubwa waliokuwa katika vita hivi walikasirika wakati waliposikia na kuona haya, wakamgombeza.",general_prose
kentrans_1809,eng_Latn,rag_Latn,Mu mihiga jene yigi avayai valange kutula ku mihiga 16 kuduka mihiga 25.,Wavulana walikuwa na umri wa miaka 16 hadi 25 walipokuwa wakipashwa tohara.,general_prose
kentrans_3672,eng_Latn,rag_Latn,Intebe yoyo iveye kutula ku makula na makula.,Kiti chako cha enzi ni tangu kizazi hata kizazi.,general_prose
luhya_multi_52_sw,swh_Latn,rag_Latn,Koo ambazo mnaenda kujinyoa na manyoa ya kondoo.,"""Chikholo nicho mucha khukhwifura ne bufuumbo bwe kamakheese.",Conversational
kentrans_3002,eng_Latn,rag_Latn,Wovo ula,Yule wako,general_prose
kentrans_311,eng_Latn,rag_Latn,Mundu musatsa nakutsa atevangwa ahayivulwa,Mwanaume anapofariki huzikwa alipozaliwa,general_prose
kentrans_2451,eng_Latn,rag_Latn,Mwami Yesu lwa yaali na ziza,Bwana Yesu alipokuwa anaenda,general_prose
luhya_multi_27_en,eng_Latn,rag_Latn,The town elders used to call that person and then speak with him.,'Babemeelesi be lukoba balalaanga omundu oyo mala balomalome naye.,Conversational
kentrans_2490,eng_Latn,rag_Latn,Kwinye avalina vo mwami Yesu,Sisi tuliyo marafiki Wa Nwana Yesu,general_prose
luhya_multi_35_sw,swh_Latn,rag_Latn,Ng'ombe wengi na mifugo wengi.,""" Chikhaafu chingali ne bibiaayo bikali.",Conversational
kentrans_2491,eng_Latn,rag_Latn,Kove valoleki veve,Tu wajumbe wake,general_prose
kentrans_72,eng_Latn,rag_Latn,Nital siatevwa hamugitsi hoho mba.,lakini hakuwa anazikwa nyumbani kwako,general_prose
kentrans_3014,eng_Latn,rag_Latn,Yivuvaa,Anameza kwa mpigo,general_prose
kentrans_3209,eng_Latn,rag_Latn,Avakaana haliki minyolo javo?,Wasichana ………. wapi nyororo zao?,general_prose
kentrans_534,eng_Latn,rag_Latn,Naho mwene yiruka vudiku.,"Fauka ya hayo, mwenye nyumba alitoroka usiku.",general_prose
kentrans_1983,eng_Latn,rag_Latn,Zimbega zyi kivala.,Dira ya dunia.,general_prose
kentrans_1091,eng_Latn,rag_Latn,"Nyasaye; kase u lindanga vyosi,",Kila kiumbe chakutegemea,general_prose
kentrans_438,eng_Latn,rag_Latn,30. Guga naho guku kohenza mukilindwa lwom’mbiri gwo mwisukulu gwikitsangwa mu kilindwa. (Gase valavakula),Babu au nyanya kuangalia kaburini wakati mwili wa mjuku ulikiteremshwa kaburini(kitambo walipofuka),general_prose
kentrans_1599,eng_Latn,rag_Latn,"Kale ligali mumadiku gaavita, Anakamuna na Anakanani vavayaa halala.","Hapo zamani, Anakamuna na Anakanani walitembea kwa pamoja.",general_prose
kentrans_3119,eng_Latn,rag_Latn,Mateeva yaga gavoola ki?,Maswali haya ni ya nini?,general_prose
kentrans_460,eng_Latn,rag_Latn,"Vindu yivi nivikikiri kokolwa, musatsa sianyala koleeta mukali wundi mba.","Kabla ya kutekelezwa kwa hayo, mume huyo hangeruhusiwa kuoa tena.",general_prose
kentrans_2897,eng_Latn,rag_Latn,Engoka yavolera vaana vatigala na vavegwe mugamba kigira yenyanga itsie kuva henzera chokulia cha hamuglova.,Kuku aliwaambia waliosalia kuwa watamyolewa keshoye kwa vile alitaka kwenda kuwataftia chakula cha jioni.,general_prose
kentrans_761,eng_Latn,rag_Latn,Yesu a ku yanza ive.,Yesu anakupenda wewe.,general_prose
luhya_multi_340_sw,swh_Latn,rag_Latn,Milima ikayeyuka mbele yao kilicho kwa kwa Mungu,"5 Vigulu vya degera imbiri wal avekitinya kyavo ki veye mu Yahova,",Conversational
kentrans_3544,eng_Latn,rag_Latn,16 Kandi u vunanyi amino gange netsinzalo u nkuniki ligoke.,"Amenivunja meno yangu kwa changarawe,amenifunika majivu.",general_prose
kentrans_3266,eng_Latn,rag_Latn,"“Kigiraki kalunu wenyanga umwana akuheku chokulia chiche?""",“Kwa nini sasa unataka mototo akugawie chakula chake?”,general_prose
kentrans_2230,eng_Latn,rag_Latn,"Umuviri gugwo goveye hano,",Mwili wako uko hapa,general_prose
kentrans_297,eng_Latn,rag_Latn,Ndeva ndi Maragoli Hills na Maragoli Forest yatsia hayi?,Maragoli forest na Maragoli Hills ilienda wapi?,general_prose
kentrans_1623,eng_Latn,rag_Latn,Yaatsia lidiku lindi niyiimba kuli Anakamuna yimbanga.,Alienda siku nyingine na kuimba kama Anakamuna alikuwa akiimba.,general_prose
kentrans_2130,eng_Latn,rag_Latn,"Naye alaza hambi kuvandu vosi,",Naye atakuja kwa watu woto,general_prose
kentrans_1347,eng_Latn,rag_Latn,"Voola bwangu amang’ana, Yesu yadze lero.","Toa zako habari leo, upesi Yesu yuaja",general_prose
kentrans_1728,eng_Latn,rag_Latn,"Muhiitsi natali netsiimbwa tsinyala kufunyliritsa malusu nukunyagula vwangu, sianyala kwita kinywere mba.","Japo mwindaji hana umbwa shupavu wa kunusa na kukimbia sana, basi hataweza kuua knywere.",general_prose
kentrans_2681,eng_Latn,rag_Latn,Haa ninze Lledi.,Ni mimi Lledi,general_prose
kentrans_1345,eng_Latn,rag_Latn,Kwenya kwidzominya Yesu wa ku letera buyanzi,Tumsifu Yesu Kristo atuleteaye furaha,general_prose
kentrans_2081,eng_Latn,rag_Latn,Vwagira Yesu na Vambwa,Ilifanya Yesu Asulubiwe,general_prose
kentrans_3662,eng_Latn,rag_Latn,Avasoleli vahonga kutsia kukina.,Vijana hawaendi kucheza.,general_prose
