id,src_lang,tgt_lang,source_text,target_text,domain
kentrans_1702_swh,swh_Latn,rag_Latn,"Naye alitamka na kuwaambia, “Mtu mkubwa kama huyu si kitu, maanake anatisha na kuchokoza watu wa Mungu wa uzima wa milele.","Naye yaavativulira naavoola, ""Mundu munene kuli uyu siaveeye kindu, kigira atihitsanga nokutindira amahe gavandu va Nyasaye werivamwoyo.",general_prose
kentrans_2699_swh,swh_Latn,rag_Latn,PAKA ALINIDANGANYA.,KIBUSI CHANGADA,general_prose
kentrans_2473_swh,swh_Latn,rag_Latn,NJOONI MARAFIKI,HAMBI VALINA,general_prose
kentrans_2002_swh,swh_Latn,rag_Latn,Naenda mbinguni kwa baba yangu,Tsitsanga mwigulu mwa dada wange,general_prose
kentrans_310_swh,swh_Latn,rag_Latn,Ilhali jua huishi kufoka kama jinsi mwanaume hufoka katika nyumba ya ukoo wake,Navutswa LIUVA yilio limenya nililoka kuli mundu musatsa yamenya nalokela hango mu HIILI yeye,general_prose
kentrans_2582_swh,swh_Latn,rag_Latn,Watoto wa Kenya ni wakali -Nyuki,Avaana va Kenya valula - Tsinzuki,general_prose
kentrans_1718_swh,swh_Latn,rag_Latn,"Sasa Daudi mwenyewe alichukua fimbo yake ya kuchungia kondoo, pamoja na mawe tano yanayoteleza na kombeo, Aliomba kisha akaenda alipokuwa Goliathi.","Ku Daudi tsana yaagumira imbiimbu yeeye yokwaya magondi, halala namagina gatano materere nolukova, Yasaala naatsia wa Goliati yaali.",general_prose
kentrans_1733_swh,swh_Latn,rag_Latn,"Wakati Daudi aliwasili, askari wa vita walimuuliza, “ Je, umeona yule mtu munene?”","Ing'inga Daudi yaatsa, avasikaali veriihe vaamuteeva, ""Uloliku mundu munene ula?""",general_prose
kentrans_1236_swh,swh_Latn,rag_Latn,Mji wa mtulivu wa bethlehem,"Lidala lya Bethelehemu lye lemelidzanga,",general_prose
kentrans_326_swh,swh_Latn,rag_Latn,Vyote hivi hugonjeka wakati mvua inapotaka kunyesha lakini kuna ndege iitwayo ITSIMILI ambalo ikifika saa tatu asubuhi huja pamoja na kuimba kwa hivyo maji hurudi na umande hurudi kwa wingi,". Vyosi ndio vilwala ku imbula ikuba anaho kandi amanyonyi gavalanga ITSIMILI niduka mutsisaa tsivaga tsio mugamba, gavungananga halala mukekonya nigimba, imbula niyavita, imbula imanya ikuba.Kandi imigera jitange kusinuka amatsi, iliime liva ilinyingi kuvulimu",general_prose
