id,src_lang,tgt_lang,source_text,target_text,domain
luhya_multi_201_multi_eng,eng_Latn,rag_Latn,There was peace with Jabin your leader who sits on the skins of Canaan until he was afflicted by those who walk to Jabin chief of Canaan,"17 gwa li netsingulu ku Jabin mwami wa Mwinye avikalanga ku visero Kanani,kuduka iwa va dividza Nomwinye ava gendaga ku jabin mwami wa Kanani.",Conversational
luhya_multi_399_multi_eng,eng_Latn,rag_Latn,Kavili child of Nyambura,A - Kavili? -Kavili Nyambura,Conversational
luhya_multi_36_multi_eng,eng_Latn,rag_Latn,Let him be brought to go around.,""" kho ererwe obotookhelesie.",Conversational
luhya_multi_211_multi_eng,eng_Latn,rag_Latn,And Jael put her hand,18 Na Jaeli ya vika mmkono gugwo.,Conversational
luhya_multi_96_multi_eng,eng_Latn,rag_Latn,"And I told him that, do not fear, you too return and go to the forest, those people are not there.","""Nese namuboolela ndi, 'Mukharia Nenywe kobolayo muche mu sichiimi babaandu abo tawe.",Conversational
luhya_multi_87_multi_eng,eng_Latn,rag_Latn,And if you find a bird's nest in a tree.,"""Ne onyoola siswi sie nyuni khumurongoro.",Conversational
luhya_multi_376_multi_eng,eng_Latn,rag_Latn,"The Lord has cast off his altar, He has abhorred his sanctuary.","7 Yahova ya ta ubwali bwibwe, kandi ya ta hatakatifu hehe.",Conversational
luhya_multi_97_multi_eng,eng_Latn,rag_Latn,This is what made the Luhya say that 'a child surpasses their mother in intelligence.',“Neshichilanga Abaluyia nibaboola mbu “Namwana ahila nyina amachesi”,Conversational
luhya_multi_225_multi_eng,eng_Latn,rag_Latn,"Because the leaders led in Israel, there they spread the message because the people gave themselves good and pleasing deeds","2 Kigira avanene avimiri mi Israeli, Ha zaa va la landidza amakuva",Conversational
luhya_multi_129_multi_eng,eng_Latn,rag_Latn,YOU HAVE CONCEIVED THE PREGNANCY OF KYUMU. Also the moon has its blood and it flows and it is RAIN. RAIN burns the moon and cleanses the moon and makes the moon grow fat,"""UHELIDZI INDA YE KYUMU” Kandi umweli goveye na masahi gagwo gagutsitsa mu nago ni “IMBULA” IMBULA etsoma umweli kandi ilavitsa umweli kandi ekomelitsa umweli.",Conversational
