english,ekegusii,headword,contributor,date,source,url
The children are from school,Abana barure eskuru,Abana,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/abana
The youth that sang got employed,Abasae bari baterete mbanyorete chigasi bonsi,Abasae,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/abasae
The old man was told that the cigarettes he's been smoking have damaged his lungs,Omogaka atebetigwe chisigara Konya akonywa chiasaririe amaa aye,Amaa,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/amaa
The cat spilled the sour milk,Ekemoni giaterete amabere amaruranu,Amabere,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/amabere
It is you who drunk the milk,Naye kwanyu amabere,Amabere,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/amabere
Omwoyo cut down the lantana camara plants before his boss returned home,Omwoyo arabetie emete y'amaemba ye chinyoni omonyene omochie atarairana,Amaemba ye chinyoni,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/amaemba-ye-chinyoni
Elizabeth bought mangoes worth five hundred shillings,Sabeti agorete amaembe y'amagana atano,Amagana atano,Purity,"September 6, 2022",lughayangu,https://lughayangu.com/ekegusii/amagana-atano
The mad person at the market has footrot,Ebarimo eria y'echiro ebwate amage,Amage,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/amage
I have two eggs,Nimbwate amagena abere,Amagena,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/amagena
It has not rained hailstones recently,Teratu mbura y'amagena bwango iga,Amagena y'embura,Purity,"September 7, 2022",lughayangu,https://lughayangu.com/ekegusii/amagena-yembura
Death has taken a lot of their family members,Amakweri akorire abanto babo,Amakweri,Purity,"September 7, 2022",lughayangu,https://lughayangu.com/ekegusii/amakweri
Black nightshade is a very good vegatable,amanagu ne ching'eni chingiya,Amanagu,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/amanagu
All the patients had a blood transfusion,Abaruaire bonso bamenteretwe amanyinga,Amanyinga,Purity,"September 1, 2022",lughayangu,https://lughayangu.com/ekegusii/amanyinga
Love is a beautiful thing,Amapenzi onye gogotokora Tokore,Amapenzi,ESTHER,"February 21, 2025",lughayangu,https://lughayangu.com/ekegusii/amapenzi
Cow intestines are sold as food,Amara ye ching'ombe nkoonigwa are koriegwa,Amara,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/amara
In the past the family last born used be given grilled chicken intestines.,Kare mokogoti nere ore koegwa amara y'engoko asambire,Amara,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/amara
humans have the small intestines and the colon(large intestines),mwanyabanto abwate amara amake n'amara amanene,Amara amanene,Purity,"September 1, 2022",lughayangu,https://lughayangu.com/ekegusii/amara-amanene
Alcohol is not good for children,Amaru tari amaya ase abana,Amaru,Bironga Nyauma,"October 17, 2019",lughayangu,https://lughayangu.com/ekegusii/amaru
There are no shoes that fit legs with elephantiasis,bikoroto mbiri goisana amagoro amatiende,Amatiende,Purity,"October 24, 2022",lughayangu,https://lughayangu.com/ekegusii/amatiende
Do not put the shoes anywhere,Tobeka ebikoroto ande onsi,Ande onsi,Bironga Nyauma,"March 9, 2020",lughayangu,https://lughayangu.com/ekegusii/ande-onsi
they were standing there,bateneine aria,Aria,Purity,"September 14, 2022",lughayangu,https://lughayangu.com/ekegusii/aria
You've written it wrongly,Kwarikire bobe,Bobe,Bironga Nyauma,"March 9, 2020",lughayangu,https://lughayangu.com/ekegusii/bobe
Good morning to you,#Bwakire,Bwakire,Obiri,"July 23, 2019",lughayangu,https://lughayangu.com/ekegusii/bwakire
By Joe bleidy cyborg,Bwakire buya,Bwakire,Obiri,"July 23, 2019",lughayangu,https://lughayangu.com/ekegusii/bwakire
a kisii name that means wealth.,"Omwana one akorokwa Bwari , naende nandetere obwari.",Bwari,Lenah Isaboke,"March 29, 2024",lughayangu,https://lughayangu.com/ekegusii/bwari
My child's name is Bwari and she will bring wealth to the family.,Nyabwari,Bwari,Lenah Isaboke,"March 29, 2024",lughayangu,https://lughayangu.com/ekegusii/bwari
means a good person,Nyabwari nang'ete oboke,Bwari,Lenah Isaboke,"March 29, 2024",lughayangu,https://lughayangu.com/ekegusii/bwari
The thieves stole two billion,Abaibi bairete chibirioni ibere,Chibirioni ibere,Purity,"September 11, 2022",lughayangu,https://lughayangu.com/ekegusii/chibirioni-ibere
The green grams that were being cooked have burnt,chidengu chiarenge riko chiarigisire,Chidengu,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/chidengu
The lentils are expensive,chidengu chikoonigwa rigori rire igoro,Chidengu,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/chidengu
They prepared rice and peas yesterday,baiyegete omochere ne chimbisi igoro,Chimbisi,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/chimbisi
My friends love eating pig weed than any other kind of vegetable,abasani bane baanchete emboga kobua ching'eni chionsi,Chimboga,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/chimboga
arrow roots are very sweet,chinduma chigwansa mono,Chinduma,Purity,"September 22, 2022",lughayangu,https://lughayangu.com/ekegusii/chinduma
Most kids like eating rice and beans,Abana abange mb'anchete koria omochere na ching'ende,Ching'ende,Purity,"August 26, 2022",lughayangu,https://lughayangu.com/ekegusii/chingende
