ref,book,chapter,verse,english,ekegusii,swahili,source,eng_words,eke_words,swa_words,story_id,page,needs_review
1CH 10:1,1CH,10.0,1.0,"Now the Philistines fought against Israel, and the men of Israel fled before them, and many fell slain on Mount Gilboa.","Bono Abafirisiti bakarwania Abaisraeli, na Abaisraeli bagatama korwa ase bare na bagaiterwa ase egetunwa kia Giliboa.","Basi Wafilisti wakapigana na Israeli. Waisraeli wakawakimbia, na wengi wakauawa katika mlima Gilboa.",bible_ebible,21.0,16.0,13.0,,,
1CH 10:10,1CH,10.0,10.0,They put his armor in the temple of their gods and hung his head in the temple of Dagon. Jabesh-gilead’s Tribute to Saul (1 Samuel 31:11–13),"Bakabeeka ebirwanero biaye ime ase Hekalu ye chinyasae chiabo, erio bagasiberania omotwe oye ase Hekalu ya Dagoni.","Waliweka silaha zake katika hekalu la miungu yao, wakatundika kichwa chake katika hekalu la Dagoni.",bible_ebible,26.0,17.0,15.0,,,
1CH 10:11,1CH,10.0,11.0,"When the people of Jabesh-gilead heard about everything the Philistines had done to Saul,","Korende ekero abanto bonsi ba Yabeshi o Gileadi baigwete aya onsi Abafirisiti bakorerete Saulo,","Wakazi wote wa Yabeshi-Gileadi waliposikia yote Wafilisti waliyomtendea Sauli,",bible_ebible,14.0,14.0,9.0,,,
1CH 10:12,1CH,10.0,12.0,all their men of valor set out and retrieved the bodies of Saul and his sons and brought them to Jabesh. And they buried their bones under the oak in Jabesh and fasted seven days.,"abarwani bonsi chituoni bakagenda bakarusia omobere o Saulo na ey’abamura baye korwa ase yarenge, bakayerenta Yabesi. Erio bagatindeka amauga abo inse y’Omoaluni agwo Yabesi, erio bakeng’ata amatuko atano na abere.","mashujaa wao wote wakaondoka, wakautwaa mwili wa Sauli na miili ya wanawe, wakaileta Yabeshi. Wakaizika mifupa yao chini ya mti mkubwa huko Yabeshi, nao wakafunga kwa siku saba.",bible_ebible,35.0,30.0,28.0,,,
1CH 10:13,1CH,10.0,13.0,"So Saul died for his unfaithfulness to the LORD, because he did not keep the word of the LORD and even consulted a medium for guidance,","Naboigo Saulo akwete, ekiagera atarenge omwegenwa. Tarenge omwegenwa ase Omonene na tarendete amang’an’Omonene amochigeete; naende akagenda korigia ogosemigwa korwa ase emeika y’abanto bakuure, ase okoraagwa nero,","Sauli alikufa kwa sababu hakuwa mwaminifu kwa Bwana. Hakulishika neno la Bwana, hata akataka shauri kwa mwaguzi kwa ajili ya uongozi,",bible_ebible,26.0,26.0,21.0,,,
1CH 10:14,1CH,10.0,14.0,and he failed to inquire of the LORD. So the LORD put him to death and turned the kingdom over to David son of Jesse.,"na tarigetie okoraagwa korwa ase Omonene. Ase ayio Omonene akamoita, akarusia oborwoti asare, akaboa Daudi, mosinto o Yese.","hakumuuliza Bwana. Kwa hiyo Bwana alimuua, na ufalme akampa Daudi mwana wa Yese.",bible_ebible,25.0,18.0,13.0,,,
1CH 10:2,1CH,10.0,2.0,"The Philistines followed hard after Saul and his sons, and they killed Saul’s sons Jonathan, Abinadab, and Malchishua.","Abafirisiti bakabwatia Saulo na abamura baye, bagaita Yonathani, na Abinadabu, na Malikisua, abamura ba Saulo.","Wafilisti wakawafuatia kwa bidii Sauli na wanawe, wakawaua Yonathani, Abinadabu na Malki-Shua.",bible_ebible,18.0,15.0,12.0,,,
1CH 10:3,1CH,10.0,3.0,"When the battle intensified against Saul, the archers overtook him and wounded him.","Esegi ekaba entindi mono ase Saulo, na abaruti emegwe bakamoromereria, bakamorasa, bakamoaka chingoma.","Mapigano yakawa makali kumzunguka Sauli na wakati wapiga mishale walipompata, wakamjeruhi.",bible_ebible,13.0,13.0,11.0,,,
1CH 10:4,1CH,10.0,4.0,"Then Saul said to his armor-bearer, “Draw your sword and run it through me, or these uncircumcised men will come and torture me!” But his armor-bearer was terrified and refused to do it. So Saul took his own sword and fell on it.","Erio Saulo agateebia omonto oria omobogoreretie ebirwanero, “Simora omoyio oo, ombete nkwe, erinde abanto aba batarogeti tibaabaisa kong’ita na gonchecheria.” Korende omonto oria akaanga, ekiagera nigo abeete nobwoba obonene. Ase ayio Saulo akabwata omoyio oye omonyene akegweria igoro yaye.","Sauli akamwambia mbeba silaha wake, “Futa upanga wako unichome nao, la sivyo hawa watu wasiotahiriwa watakuja na kunidhalilisha.” Lakini mbeba silaha wake akaogopa sana wala hakuweza kufanya hivyo. Kwa hiyo Sauli akachukua upanga wake mwenyewe na kuuangukia.",bible_ebible,43.0,39.0,37.0,,,
1CH 10:5,1CH,10.0,5.0,"When his armor-bearer saw that Saul was dead, he too fell on his own sword and died.","Ekero omonto oria omobogoria ebirwanero aroche ng’a Saulo okuure, nere akegweria ase omoyio oye omonyene, agakwa.","Mbeba silaha wake alipoona kwamba Sauli amekufa, naye pia akauangukia upanga wake akafa.",bible_ebible,17.0,16.0,13.0,,,
